label,score
POSITIVE,0.9847180247306824
POSITIVE,0.9995315074920654
POSITIVE,0.9998552799224854
POSITIVE,0.9998161196708679
POSITIVE,0.9997805953025818
POSITIVE,0.9974191188812256
POSITIVE,0.9998466968536377
NEGATIVE,0.9980331063270569
NEGATIVE,0.9983522891998291
POSITIVE,0.9977364540100098
NEGATIVE,0.9934245347976685
NEGATIVE,0.9992719292640686
NEGATIVE,0.5792602300643921
NEGATIVE,0.9586812853813171
POSITIVE,0.7481210231781006
POSITIVE,0.7481210231781006
POSITIVE,0.9984845519065857
NEGATIVE,0.9979580640792847
POSITIVE,0.9974179267883301
POSITIVE,0.6375042796134949
NEGATIVE,0.996624231338501
POSITIVE,0.9174479246139526
NEGATIVE,0.9826783537864685
POSITIVE,0.999841570854187
POSITIVE,0.9792505502700806
POSITIVE,0.971358597278595
NEGATIVE,0.9995300769805908
POSITIVE,0.9998457431793213
POSITIVE,0.7085179090499878
NEGATIVE,0.9784416556358337
POSITIVE,0.7481210231781006
POSITIVE,0.936591386795044
POSITIVE,0.9995796084403992
POSITIVE,0.7481210231781006
NEGATIVE,0.9960944056510925
POSITIVE,0.9089562296867371
NEGATIVE,0.7331752181053162
NEGATIVE,0.995209276676178
POSITIVE,0.9998332262039185
POSITIVE,0.9874665141105652
POSITIVE,0.9970980882644653
NEGATIVE,0.8801849484443665
NEGATIVE,0.9863228797912598
NEGATIVE,0.9997503161430359
POSITIVE,0.825637698173523
NEGATIVE,0.9920331835746765
POSITIVE,0.9998552799224854
POSITIVE,0.7721576690673828
NEGATIVE,0.9971098303794861
POSITIVE,0.9788757562637329
POSITIVE,0.9998807907104492
POSITIVE,0.9997461438179016
POSITIVE,0.9998161196708679
NEGATIVE,0.9982838034629822
POSITIVE,0.9964626431465149
POSITIVE,0.7481210231781006
POSITIVE,0.9998552799224854
POSITIVE,0.9998284578323364
NEGATIVE,0.9973559379577637
POSITIVE,0.9998552799224854
POSITIVE,0.8405794501304626
POSITIVE,0.7481210231781006
POSITIVE,0.9869583249092102
POSITIVE,0.7481210231781006
NEGATIVE,0.8995090126991272
NEGATIVE,0.9735472798347473
POSITIVE,0.9998406171798706
POSITIVE,0.9998563528060913
NEGATIVE,0.9852970242500305
POSITIVE,0.7481210231781006
NEGATIVE,0.9929030537605286
POSITIVE,0.5383028388023376
NEGATIVE,0.9863055944442749
POSITIVE,0.8955917954444885
NEGATIVE,0.9910330176353455
NEGATIVE,0.9920793175697327
POSITIVE,0.5573259592056274
NEGATIVE,0.8463025689125061
POSITIVE,0.7481210231781006
NEGATIVE,0.9994519352912903
NEGATIVE,0.9940144419670105
NEGATIVE,0.9873918890953064
POSITIVE,0.6813847422599792
NEGATIVE,0.9715589284896851
NEGATIVE,0.9767693877220154
NEGATIVE,0.9581595063209534
POSITIVE,0.9997069239616394
NEGATIVE,0.9902253746986389
POSITIVE,0.9997811913490295
NEGATIVE,0.9059334993362427
POSITIVE,0.9995761513710022
POSITIVE,0.9915084838867188
POSITIVE,0.9817033410072327
POSITIVE,0.9997069239616394
POSITIVE,0.9998520612716675
NEGATIVE,0.9781944155693054
NEGATIVE,0.9037010073661804
POSITIVE,0.9975946545600891
NEGATIVE,0.9961458444595337
POSITIVE,0.9848913550376892
POSITIVE,0.9997352957725525
NEGATIVE,0.7942236661911011
NEGATIVE,0.9920498728752136
POSITIVE,0.9997805953025818
POSITIVE,0.9989223480224609
NEGATIVE,0.9606999158859253
NEGATIVE,0.9986234903335571
NEGATIVE,0.9848231077194214
NEGATIVE,0.9909878373146057
NEGATIVE,0.9790383577346802
POSITIVE,0.7481210231781006
POSITIVE,0.998239278793335
NEGATIVE,0.832495391368866
POSITIVE,0.7481210231781006
POSITIVE,0.9998509883880615
POSITIVE,0.9993346333503723
POSITIVE,0.9593881368637085
POSITIVE,0.9998158812522888
POSITIVE,0.9998563528060913
NEGATIVE,0.9701911211013794
POSITIVE,0.9986151456832886
NEGATIVE,0.9966393709182739
NEGATIVE,0.9857639670372009
NEGATIVE,0.9943238496780396
POSITIVE,0.9996863603591919
NEGATIVE,0.9811204075813293
POSITIVE,0.9998817443847656
POSITIVE,0.9145795702934265
NEGATIVE,0.9951918125152588
POSITIVE,0.9998630285263062
POSITIVE,0.9998815059661865
POSITIVE,0.9997805953025818
POSITIVE,0.9991482496261597
POSITIVE,0.9998685121536255
POSITIVE,0.9994146823883057
POSITIVE,0.999175488948822
NEGATIVE,0.957447350025177
NEGATIVE,0.9808257222175598
NEGATIVE,0.9932384490966797
NEGATIVE,0.989973783493042
POSITIVE,0.5740326642990112
NEGATIVE,0.8507183790206909
NEGATIVE,0.998473584651947
NEGATIVE,0.9692844152450562
NEGATIVE,0.9930863976478577
NEGATIVE,0.9843752980232239
POSITIVE,0.7481210231781006
NEGATIVE,0.9848772287368774
NEGATIVE,0.5919705033302307
POSITIVE,0.5046941637992859
NEGATIVE,0.9519666433334351
NEGATIVE,0.7353848218917847
NEGATIVE,0.999775230884552
POSITIVE,0.9997784495353699
NEGATIVE,0.9726645350456238
NEGATIVE,0.9987177848815918
NEGATIVE,0.9360089898109436
NEGATIVE,0.9909115433692932
POSITIVE,0.9995336532592773
POSITIVE,0.7214445471763611
NEGATIVE,0.9937908053398132
NEGATIVE,0.98470139503479
POSITIVE,0.7481210231781006
POSITIVE,0.9996863603591919
POSITIVE,0.9541465044021606
NEGATIVE,0.9894176125526428
NEGATIVE,0.9938926696777344
POSITIVE,0.9997664093971252
NEGATIVE,0.9879512190818787
NEGATIVE,0.8810540437698364
NEGATIVE,0.9935222268104553
POSITIVE,0.9932987689971924
POSITIVE,0.9997356534004211
POSITIVE,0.9997970461845398
NEGATIVE,0.6998119950294495
