id,app_name,score,label
469405,Half-Life,0.9973562955856323,POSITIVE
470671,Half-Life,0.9659196138381958,NEGATIVE
470818,Half-Life,0.9783523082733154,NEGATIVE
471955,Half-Life,0.9970365762710571,POSITIVE
472393,Half-Life,0.9934157133102417,NEGATIVE
473093,Half-Life,0.9556543827056885,NEGATIVE
474016,Half-Life,0.9915764927864075,POSITIVE
527167,Counter-Strike: Source,0.9009280800819397,POSITIVE
530152,Counter-Strike: Source,0.9989866614341736,NEGATIVE
530717,Counter-Strike: Source,0.9981592297554016,POSITIVE
645883,Half-Life 2: Episode Two,0.9869924783706665,NEGATIVE
646118,Half-Life 2: Episode Two,0.9632298350334167,POSITIVE
646250,Half-Life 2: Episode Two,0.9953091740608215,POSITIVE
647274,Half-Life 2: Episode Two,0.9731883406639099,POSITIVE
648906,Half-Life 2: Episode Two,0.9987075328826904,POSITIVE
668643,Portal 2,0.9836634397506714,NEGATIVE
670246,Portal 2,0.9183576703071594,NEGATIVE
672933,Portal 2,0.9996974468231201,POSITIVE
900659,X Rebirth,0.9998094439506531,NEGATIVE
900761,X Rebirth,0.9974488615989685,NEGATIVE
900851,X Rebirth,0.9884678721427917,NEGATIVE
900887,X Rebirth,0.990632176399231,NEGATIVE
901011,X Rebirth,0.9992475509643555,POSITIVE
901079,X Rebirth,0.990878164768219,POSITIVE
901219,X Rebirth,0.9998028874397278,NEGATIVE
901435,X Rebirth,0.8738506436347961,POSITIVE
901592,X Rebirth,0.9995691180229187,POSITIVE
901751,X Rebirth,0.9804138541221619,NEGATIVE
901818,X Rebirth,0.9724503755569458,NEGATIVE
901836,X Rebirth,0.7481209635734558,POSITIVE
901908,X Rebirth,0.9788234233856201,POSITIVE
902018,X Rebirth,0.9997406601905823,NEGATIVE
902158,X Rebirth,0.9783914685249329,NEGATIVE
902161,X Rebirth,0.7481209635734558,POSITIVE
902210,X Rebirth,0.9997555613517761,NEGATIVE
902270,X Rebirth,0.9971681237220764,NEGATIVE
902272,X Rebirth,0.7481209635734558,POSITIVE
902278,X Rebirth,0.9723935723304749,NEGATIVE
902280,X Rebirth,0.9990273714065552,NEGATIVE
902348,X Rebirth,0.8914737105369568,NEGATIVE
902532,X Rebirth,0.9959136843681335,NEGATIVE
902911,X Rebirth,0.9939610958099365,POSITIVE
902916,X Rebirth,0.9988818764686584,POSITIVE
902939,X Rebirth,0.8031186461448669,POSITIVE
903136,X Rebirth,0.9983384609222412,NEGATIVE
903173,X Rebirth,0.9754781723022461,POSITIVE
903297,X Rebirth,0.7947418689727783,POSITIVE
903372,X Rebirth,0.9965705871582031,POSITIVE
903412,X Rebirth,0.9997698664665222,NEGATIVE
903493,X Rebirth,0.9922549724578857,NEGATIVE
903506,X Rebirth,0.9943987727165222,NEGATIVE
903534,X Rebirth,0.9942025542259216,NEGATIVE
903675,X Rebirth,0.9951973557472229,NEGATIVE
903891,X Rebirth,0.9985523819923401,NEGATIVE
904165,X Rebirth,0.9982638955116272,NEGATIVE
904274,X Rebirth,0.7481209635734558,POSITIVE
905167,X Rebirth,0.7634817957878113,POSITIVE
905455,X Rebirth,0.9591624140739441,NEGATIVE
905560,X Rebirth,0.9995614886283875,NEGATIVE
908775,Garry's Mod,0.9982197880744934,NEGATIVE
7286071,X-Blades,0.9763202667236328,NEGATIVE
7286604,X-Blades,0.8212130665779114,NEGATIVE
7287295,X-Blades,0.9661791324615479,NEGATIVE
12165580,BioShock Infinite,0.9879992008209229,NEGATIVE
12165621,BioShock Infinite,0.998680055141449,POSITIVE
12166066,BioShock Infinite,0.9997946619987488,POSITIVE
12166260,BioShock Infinite,0.9964950680732727,POSITIVE
12167122,BioShock Infinite,0.9875537157058716,NEGATIVE
12168293,BioShock Infinite,0.9808579087257385,NEGATIVE
12168556,BioShock Infinite,0.9998020529747009,POSITIVE
12168791,BioShock Infinite,0.9673559665679932,NEGATIVE
12170022,BioShock Infinite,0.9997993111610413,POSITIVE
12170074,BioShock Infinite,0.9918112754821777,NEGATIVE
12170542,BioShock Infinite,0.9997805953025818,POSITIVE
1563246,Sid Meier's Civilization V,0.9998366832733154,POSITIVE
1563320,Sid Meier's Civilization V,0.9996744394302368,NEGATIVE
1563635,Sid Meier's Civilization V,0.9977884292602539,POSITIVE
1563747,Sid Meier's Civilization V,0.7481209635734558,POSITIVE
1563941,Sid Meier's Civilization V,0.9997805953025818,POSITIVE
1564109,Sid Meier's Civilization V,0.7210264801979065,POSITIVE
1564198,Sid Meier's Civilization V,0.9242869019508362,POSITIVE
1564217,Sid Meier's Civilization V,0.982108473777771,NEGATIVE
1564438,Sid Meier's Civilization V,0.9623894691467285,NEGATIVE
1564900,Sid Meier's Civilization V,0.7481209635734558,POSITIVE
1565150,Sid Meier's Civilization V,0.9320323467254639,NEGATIVE
1565291,Sid Meier's Civilization V,0.8964536190032959,NEGATIVE
1565847,Sid Meier's Civilization V,0.9924598336219788,NEGATIVE
1565861,Sid Meier's Civilization V,0.996408998966217,NEGATIVE
1565884,Sid Meier's Civilization V,0.9889867305755615,NEGATIVE
1565990,Sid Meier's Civilization V,0.9960384368896484,NEGATIVE
1566261,Sid Meier's Civilization V,0.9764994978904724,POSITIVE
1566581,Sid Meier's Civilization V,0.9601817727088928,POSITIVE
1566730,Sid Meier's Civilization V,0.960113525390625,NEGATIVE
1567832,Sid Meier's Civilization V,0.9997805953025818,POSITIVE
11880705,STAR WARS™ Empire at War: Gold Pack,0.9849669337272644,NEGATIVE
11881558,STAR WARS™ Empire at War: Gold Pack,0.9987780451774597,POSITIVE
11882611,STAR WARS™ Empire at War: Gold Pack,0.8357951641082764,NEGATIVE
11882886,STAR WARS™ Empire at War: Gold Pack,0.9646893739700317,POSITIVE
11884779,STAR WARS™ Empire at War: Gold Pack,0.9998403787612915,POSITIVE
11885060,STAR WARS™ Empire at War: Gold Pack,0.9998735189437866,POSITIVE
11885214,STAR WARS™ Empire at War: Gold Pack,0.9995125532150269,POSITIVE
12615243,Batman: Arkham Asylum GOTY Edition,0.9937732815742493,NEGATIVE
12615284,Batman: Arkham Asylum GOTY Edition,0.7481209635734558,POSITIVE
12615548,Batman: Arkham Asylum GOTY Edition,0.9997703433036804,POSITIVE
12615861,Batman: Arkham Asylum GOTY Edition,0.5591204166412354,NEGATIVE
12616333,Batman: Arkham Asylum GOTY Edition,0.6220498085021973,NEGATIVE
12616538,Batman: Arkham Asylum GOTY Edition,0.9969839453697205,NEGATIVE
12616575,Batman: Arkham Asylum GOTY Edition,0.999356210231781,NEGATIVE
12616636,Batman: Arkham Asylum GOTY Edition,0.9641504287719727,NEGATIVE
